"Date","Expense (tags)","Amount","Currency","Description"
"2010-11-05","benz, car","19.92","EUR",""
"2010-11-06","caffeine, food","1.9","EUR",""
"2010-11-06","box, personal, seldom, sport","54.5","EUR",""
"2010-11-06","grooming, personal","4.58","EUR",""
"2010-11-06","car, seldom","8","EUR","Washy washy"
"2010-11-09","rare, ticket","50","EUR",""
"2010-11-09","car, rare","34","EUR","Gume menat"
"2010-11-09","food","5","EUR","Kosilo mirje nomz"
"2010-11-10","food","1.5","EUR",""
"2010-11-11","food","3","EUR",""
"2010-11-12","culture, moviez","9.8","EUR",""
"2010-11-12","food","4.28","EUR",""
"2010-11-12","food","0.6","EUR",""
"2010-11-14","drinks","3.7","EUR",""
"2010-11-15","drinks","0.8","EUR",""
"2010-11-15","food","1.5","EUR",""
"2010-11-16","food","3.38","EUR",""
"2010-11-17","apps","1.99","EUR",""
"2010-11-18","food","4","EUR",""
"2010-11-18","debt, recurrent","100","EUR",""
"2010-11-19","moviez","5","EUR",""
"2010-11-19","food","20","EUR",""
"2010-11-19","apps","0.79","EUR",""
"2010-11-20","bus","2.7","EUR",""
"2010-11-22","food","3","EUR",""
"2010-11-22","school, textbook","19.4","EUR",""
"2010-11-23","food","5.7","EUR",""
"2010-11-24","voxio","5","EUR",""
"2010-11-24","food","6.5","EUR",""
"2010-11-25","food","2.13","EUR",""
"2010-11-26","drinks","10.3","EUR",""
"2010-11-27","bus","2.7","EUR",""
"2010-11-27","bus","2.7","EUR",""
"2010-11-28","misc","16.69","EUR",""
"2010-11-29","drinks","2.1","EUR",""
"2010-11-29","benz","19.98","EUR",""
"2010-11-29","food","3.2","EUR",""
"2010-11-30","food","7.5","EUR",""
"2010-12-02","food","10","EUR",""
"2010-12-03","bus","2.7","EUR",""
"2010-12-03","drinks","8.3","EUR",""
"2010-12-03","drinks","1.5","EUR",""
"2010-12-04","misc, rare","10","EUR",""
"2010-12-05","bus","2.7","EUR",""
"2010-12-06","apps","2.99","EUR",""
"2010-12-06","drinks","6","EUR",""
"2010-12-06","misc","2.6","EUR",""
"2010-12-06","drinks","1.5","EUR",""
"2010-12-06","food","3.2","EUR",""
"2010-12-07","food","2.1","EUR",""
"2010-12-08","food","17.42","EUR",""
"2010-12-08","drinks","4.9","EUR",""
"2010-12-08","food","7","EUR",""
"2010-12-09","misc, rare","100","EUR",""
"2010-12-09","food","1.5","EUR",""
"2010-12-10","moviez","8.5","EUR",""
"2010-12-10","drinks","6.8","EUR",""
"2010-12-10","food","1.2","EUR",""
"2010-12-11","drinks","1.69","EUR",""
"2010-12-12","benz","12.8","EUR",""
"2010-12-12","voxio","5","EUR",""
"2010-12-13","grooming","18.48","EUR",""
"2010-12-13","food","1.4","EUR",""
"2010-12-15","food","8","EUR",""
"2010-12-15","food","6.9","EUR",""
"2010-12-16","misc","13.05","EUR",""
"2010-12-18","tea","5.9","EUR",""
"2010-12-18","misc","45.87","EUR",""
"2010-12-19","box, sport","60","EUR",""
"2010-12-20","misc","5.37","EUR",""
"2010-12-20","car, rare","150","EUR",""
"2010-12-21","benz","19.93","EUR",""
"2010-12-21","food","7.2","EUR",""
"2010-12-22","food","5.4","EUR",""
"2010-12-23","energy","6.1","EUR",""
"2010-12-23","voxio","5","EUR",""
"2010-12-27","gifts","15","EUR",""
"2010-12-27","misc","7.2","EUR",""
"2010-12-27","tea","8","EUR",""
"2010-12-27","gifts","19.83","EUR",""
"2010-12-27","gifts","11.96","EUR",""
"2010-12-29","tea","2","EUR",""
"2010-12-29","gifts","5.8","EUR",""
"2010-12-29","gifts","17","EUR",""
"2010-12-29","gifts","7.96","EUR",""
"2010-12-31","drinks","23.4","EUR",""
"2010-12-31","superfeedr","98","EUR",""
"2010-12-31","biznis","1,105","EUR",""
"2010-12-31","savings","50","EUR",""
"2010-01-02","domain","30","EUR",""
"2010-01-02","energy","6.4","EUR",""
"2011-01-04","food","1.5","EUR",""
"2011-01-05","car","1.5","EUR",""
"2011-01-05","car","8","EUR",""
"2011-01-05","food","0.6","EUR",""
"2011-01-05","food","1.5","EUR",""
"2011-01-07","food","2.8","EUR",""
"2011-01-09","benz","15.23","EUR",""
"2011-01-11","food","6.35","EUR",""
"2011-01-12","food","6.8","EUR",""
"2011-01-14","misc","5.7","EUR",""
"2011-01-15","energy","1.5","EUR",""
"2011-01-17","energy","1.5","EUR",""
"2011-01-17","energy","1.5","EUR",""
"2011-01-19","energy","1.5","EUR",""
"2011-01-20","energy","1.85","EUR",""
"2011-01-25","energy","1.8","EUR",""
"2011-01-26","energy","0.7","EUR",""
"2011-01-28","savings","50","EUR",""
"2011-01-31","energy","1.5","EUR",""
"2011-02-01","drinks","4.1","EUR",""
"2011-02-04","drinks, tea","10","EUR",""
"2011-02-05","benz","18.19","EUR",""
"2011-02-05","car","7","EUR",""
"2011-02-10","benz","19.08","EUR",""
"2011-02-10","energy","1.5","EUR",""
"2011-02-11","food","1.35","EUR",""
"2011-02-14","drinks","9.9","EUR",""
"2011-02-14","rare","16.82","EUR",""
"2011-02-18","misc","8.28","EUR",""
"2011-02-19","drinks","14.41","EUR",""
"2011-02-21","food","1.5","EUR",""
"2011-02-24","domain","7.39","EUR",""
"2011-02-25","energy","1.85","EUR",""
"2011-02-25","box, sport","15","EUR",""
"2011-02-26","car","10","EUR",""
"2011-02-26","energy","1.35","EUR",""
"2011-02-28","food","2.2","EUR",""
"2011-03-01","food","2.3","EUR",""
"2011-03-05","food","9.28","EUR",""
"2011-03-07","food","0.6","EUR",""
"2011-03-07","food","2.1","EUR",""
"2011-03-08","food","1.7","EUR",""
"2011-03-09","energy","1.85","EUR",""
"2011-03-09","food","1.29","EUR",""
"2011-03-16","funz","5","EUR",""
"2011-03-16","food","5","EUR",""
"2011-03-16","food","0.7","EUR",""
"2011-03-17","food","3","EUR",""
"2011-03-17","food","1.69","EUR",""
"2011-03-17","drinks, food","6.7","EUR",""
"2011-03-21","food","1.1","EUR",""
"2011-03-21","energy","1.5","EUR",""
"2011-03-22","drinks","3.8","EUR",""
"2011-03-23","drinks, food","8","EUR",""
"2011-03-24","misc, rare","5","EUR",""
"2011-03-24","food","10","EUR",""
"2011-03-24","energy","3","EUR",""
"2011-03-27","drinks","2","EUR",""
"2011-03-28","drinks","0.6","EUR",""
"2011-03-28","dreamhost","15.55","EUR",""
"2011-03-29","food","6.9","EUR",""
"2011-03-31","food","1.79","EUR",""
"2011-04-01","drinks","5.5","EUR",""
"2011-04-04","energy","1.89","EUR",""
"2011-04-04","food","1.4","EUR",""
"2011-04-08","funz","25.5","EUR",""
"2011-04-09","benz","27.4","EUR",""
"2011-04-09","energy","6.1","EUR",""
"2011-04-09","benz","20","EUR",""
"2011-04-11","food","4.11","EUR",""
"2011-04-11","food","3.49","EUR",""
"2011-04-13","benz","21","EUR",""
"2011-04-13","funz, rare","4","EUR",""
"2011-04-13","tea","4.06","EUR",""
"2011-04-15","tea","2","EUR",""
"2011-04-17","energy, food","8.55","EUR",""
